1	O75791	32.075	53	31	3	92	142	67	116	1.16e-04	35.1
1	O00459	13.684	95	63	5	30	111	562	650	4.03e-04	33.5
1	P42684	23.256	86	58	3	81	165	170	248	5.77e-04	33.1
1	P42684	23.256	86	58	3	81	165	170	248	7.66e-30	109
1	O00459	13.423	149	102	8	30	165	562	696	9.42e-27	100
1	P00519	23.256	86	58	3	81	165	124	202	6.49e-26	98.3
1	O75791	25.263	95	62	4	84	177	58	144	1.59e-19	78.6
1	P27986	15.541	148	99	7	30	165	565	698	4.33e-19	78.6
1	P62993	24.476	143	98	5	37	177	13	147	3.56e-17	70.5
1	Q13588	27.103	107	68	5	73	177	49	147	6.46e-15	64.4
1	Q92569	15.132	152	101	8	30	167	297	434	7.16e-15	65.9
1	P07947	14.570	151	99	6	23	167	116	242	4.56e-10	51.7
1	P41240	22.619	84	56	3	83	165	81	156	7.77e-10	50.9
1	P06241	16.418	134	86	5	77	204	149	262	9.26e-10	50.9
1	P06239	23.333	90	56	4	83	165	126	209	9.79e-10	50.9
1	P42685	19.318	88	61	4	83	167	115	195	1.33e-09	50.5
1	P16333	16.667	96	69	4	72	165	270	356	1.34e-09	50.1
1	O43639	16.667	90	65	3	77	165	279	359	1.75e-09	49.7
1	P08631	20.690	87	57	3	85	165	146	226	3.45e-09	49.0
1	Q06124	22.093	86	57	5	84	167	6	83	1.05e-08	47.8
1	Q06124	19.811	106	72	5	84	180	112	213	1.25e-05	38.2
1	P09769	14.433	97	65	4	77	167	144	228	1.18e-08	47.4
1	P15498	21.591	88	60	3	81	167	668	747	1.29e-08	47.4
1	A6NKC9	18.750	96	70	4	83	177	50	138	1.43e-08	47.0
1	Q9H3Y6	18.391	87	61	4	82	165	118	197	3.79e-08	45.9
1	Q8TC17	29.412	51	34	2	73	121	49	99	3.93e-08	43.6
1	P19174	18.841	138	97	5	40	167	509	641	5.56e-08	45.5
1	P19174	14.737	95	64	5	72	165	663	741	1.64e-06	41.3
1	P07948	19.388	98	67	3	85	176	131	222	5.87e-08	45.5
1	P12931	15.789	152	102	6	24	165	98	233	6.01e-08	45.5
1	P52735	18.824	85	60	3	82	165	671	747	9.66e-08	44.7
1	Q7M4L6	24.096	83	56	4	84	165	323	399	1.17e-07	44.3
1	P42680	21.176	170	102	8	37	192	202	353	2.89e-07	43.2
1	P29353	23.200	125	78	5	59	176	460	573	3.16e-07	43.2
1	Q14451	21.591	88	57	5	84	165	431	512	3.20e-07	43.2
1	P16885	15.152	132	100	4	42	165	490	617	3.41e-07	43.2
1	P16885	22.105	95	58	6	72	165	641	720	6.09e-07	42.4
1	Q96IW2	22.093	86	60	4	81	165	237	316	3.59e-07	42.8
1	Q13239	14.607	89	65	4	82	167	82	162	4.85e-07	42.0
1	P51451	18.605	86	59	3	85	165	126	205	6.42e-07	42.0
1	P29350	24.419	86	55	4	84	167	4	81	6.83e-07	42.0
1	P29350	19.780	91	56	4	84	164	110	193	0.001	32.4
1	P98077	19.259	135	89	6	58	188	462	580	7.65e-07	42.0
1	Q14449	22.353	85	58	5	82	162	437	517	8.68e-07	42.0
1	Q92529	20.000	115	72	4	65	176	487	584	1.01e-06	41.6
1	Q06187	21.143	175	107	9	28	192	232	385	1.32e-06	41.3
1	P20936	16.892	148	105	5	54	197	157	290	1.69e-06	41.3
1	P20936	18.391	87	63	3	63	148	337	416	1.58e-05	38.2
1	O15357	22.059	68	51	2	101	168	40	105	2.00e-06	40.9
1	Q5VZ18	23.256	86	59	4	81	165	392	471	2.79e-06	40.1
1	P42681	20.755	106	65	5	66	165	139	231	3.83e-06	39.7
1	Q5SQS7	26.415	106	68	5	61	165	304	400	5.94e-06	39.3
1	O14508	22.018	109	79	3	62	167	26	131	6.38e-06	38.6
1	Q9UN19	20.225	89	59	5	84	169	35	114	6.91e-06	38.6
1	O14544	21.429	70	53	2	74	142	374	442	8.16e-06	38.9
1	O75815	17.241	87	67	4	82	166	152	235	8.74e-06	38.9
1	P42679	15.584	154	119	4	50	200	86	231	9.21e-06	38.6
1	Q7Z4S9	23.148	108	72	6	79	176	60	166	9.71e-06	37.8
1	P46109	16.949	59	43	1	73	131	10	62	1.09e-05	38.2
1	Q9UKW4	16.667	102	77	2	64	165	653	746	1.16e-05	38.6
1	Q13882	21.311	122	79	5	79	197	73	180	1.22e-05	38.2
1	P43405	19.767	86	58	4	85	167	17	94	1.33e-05	38.2
1	P46108	18.644	59	42	1	73	131	9	61	1.62e-05	37.8
1	Q9H6Q3	13.684	95	69	4	80	167	90	178	2.23e-05	37.0
1	P51813	19.000	100	64	4	71	165	290	377	2.54e-05	37.4
1	Q6S5L8	18.018	111	75	4	69	176	514	611	2.55e-05	37.4
1	Q9ULZ2	20.800	125	93	5	42	162	135	257	2.76e-05	37.0
1	P16591	17.778	90	62	4	77	165	453	531	2.87e-05	37.4
1	O14492	16.807	119	83	7	55	169	393	499	3.20e-05	37.0
1	O14543	17.647	85	69	1	84	168	47	130	4.60e-05	35.9
1	Q13322	19.388	98	71	4	70	162	477	571	4.73e-05	36.6
1	Q68CZ2	27.143	70	44	1	61	123	1143	1212	5.09e-05	36.6
1	O75159	17.143	70	57	1	73	142	371	439	5.64e-05	36.2
1	Q9BRG2	16.667	90	64	5	82	166	13	96	7.11e-05	35.9
1	Q8IZW8	30.233	43	29	1	84	125	449	491	7.55e-05	35.9
1	Q96JZ2	22.772	101	70	4	80	179	30	123	9.15e-05	35.5
1	P51692	27.027	37	27	0	88	124	598	634	9.25e-05	35.9
1	P42229	27.027	37	27	0	88	124	598	634	9.77e-05	35.5
1	Q92835	23.377	77	56	3	87	162	9	83	1.25e-04	35.5
1	Q9NP31	22.105	95	67	5	83	176	94	182	1.31e-04	35.1
